time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
26-Mar-21,9,9352,7,5703,1,1290,0,2090
27-Mar-21,6,3622,3,2049,2,634,1,828
28-Mar-21,4,5329,3,3175,0,939,1,1065
29-Mar-21,23,13293,19,8058,2,2029,2,2923
30-Mar-21,22,8687,20,5360,1,1186,1,1954
31-Mar-21,13,7543,10,4311,1,1213,2,1718
1-Apr-21,11,8591,6,5175,1,1277,4,1948
2-Apr-21,10,8983,6,5320,1,1309,3,2098
3-Apr-21,4,3389,4,1793,0,561,0,926
4-Apr-21,2,3220,2,1836,0,621,0,643
5-Apr-21,24,13513,19,8041,2,2161,2,2981
6-Apr-21,16,9024,6,5467,3,1293,6,2057
7-Apr-21,11,7223,8,4253,0,1056,3,1704
8-Apr-21,7,8187,5,4845,1,1157,1,1940
9-Apr-21,9,9225,5,5576,2,1329,1,2081
10-Apr-21,6,3321,3,1909,2,505,1,795
11-Apr-21,5,4788,4,2833,1,859,0,949
12-Apr-21,19,13480,15,8214,1,2075,3,2876
13-Apr-21,15,8474,10,5025,2,1328,2,1920
14-Apr-21,10,7944,9,4813,1,1200,0,1679
15-Apr-21,9,8610,8,5177,1,1241,0,2026
16-Apr-21,11,9070,6,5566,1,1273,3,2043
17-Apr-21,4,3370,2,1976,0,562,2,734
18-Apr-21,1,5126,1,3206,0,814,0,971
19-Apr-21,20,13598,14,8247,4,2064,1,2994
20-Apr-21,8,6822,3,4100,3,954,2,1631
21-Apr-21,18,8035,12,4958,3,1190,2,1680
22-Apr-21,11,8707,6,5208,0,1265,4,2028
23-Apr-21,10,8780,6,5278,1,1276,3,2038
24-Apr-21,7,3084,7,1768,0,489,0,734
25-Apr-21,11,4968,5,3010,1,851,5,951
26-Apr-21,11,13004,7,7827,1,2063,3,2909
27-Apr-21,8,8533,5,5163,0,1209,2,1926
28-Apr-21,5,6582,3,3866,0,962,2,1590
29-Apr-21,2,8265,1,4902,0,1164,1,2023
30-Apr-21,1,8520,0,5278,1,1225,0,1866
1-May-21,3,2862,1,1668,0,527,1,586
2-May-21,2,4627,1,2883,0,724,1,888
3-May-21,8,11622,5,6804,0,1788,3,2831
4-May-21,8,7341,5,4389,0,1023,3,1767
5-May-21,2,6728,2,4041,0,1061,0,1466
6-May-21,3,6769,3,3716,0,1011,0,1907
7-May-21,0,7442,0,4267,0,1163,0,1851
8-May-21,1,2799,1,1661,0,476,0,586
9-May-21,3,3610,3,2165,0,623,0,708
10-May-21,1,9901,1,5101,0,1767,0,2863
11-May-21,4,6575,4,3463,0,1144,0,1830
12-May-21,2,5431,2,2893,0,990,0,1394
13-May-21,2,5466,1,2546,0,992,1,1797
14-May-21,3,5167,2,2174,0,1029,1,1805
15-May-21,1,1590,1,646,0,371,0,508
16-May-21,2,1932,0,634,1,497,0,699
17-May-21,5,4081,2,900,1,926,1,2052
18-May-21,3,2679,1,698,0,664,2,1186
19-May-21,2,2318,0,577,0,503,2,1129
20-May-21,1,1899,0,389,0,500,1,932
21-May-21,0,2012,0,451,0,524,0,954
22-May-21,0,749,0,130,0,220,0,346
23-May-21,0,1140,0,256,0,318,0,481
24-May-21,3,3605,0,686,1,926,2,1810
25-May-21,2,2288,0,494,1,572,0,1161
26-May-21,0,2024,0,387,0,502,0,1068
27-May-21,1,1768,0,333,1,482,0,879
28-May-21,1,1802,1,309,0,483,0,866
29-May-21,0,773,0,157,0,211,0,345
30-May-21,0,889,0,214,0,227,0,384
1-Jun-21,2,4152,0,811,1,1159,1,2054
2-Jun-21,1,2449,0,440,0,599,1,1321
3-Jun-21,1,1948,0,416,0,453,1,944
4-Jun-21,1,1912,1,395,0,480,0,917
5-Jun-21,0,675,0,96,0,171,0,341
6-Jun-21,0,870,0,174,0,235,0,395
7-Jun-21,0,2901,0,574,0,773,0,1435
8-Jun-21,1,2238,0,424,0,623,0,1116
9-Jun-21,0,2044,0,380,0,500,0,1079
10-Jun-21,0,1825,0,411,0,479,0,865
11-Jun-21,1,1691,0,339,0,417,1,805
12-Jun-21,0,624,0,97,0,167,0,315
13-Jun-21,0,918,0,206,0,233,0,407
14-Jun-21,1,2967,0,615,0,784,1,1478
15-Jun-21,1,2128,0,404,0,579,0,1067
16-Jun-21,0,1904,0,319,0,471,0,1056
17-Jun-21,0,1770,0,409,0,443,0,815
18-Jun-21,0,1565,0,278,0,431,0,785
19-Jun-21,0,424,0,61,0,135,0,195
20-Jun-21,0,498,0,95,0,133,0,233
21-Jun-21,0,1800,0,352,0,436,0,936
22-Jun-21,0,1101,0,218,0,247,0,590
23-Jun-21,0,847,0,155,0,189,0,471
24-Jun-21,1,737,0,166,0,150,1,354
25-Jun-21,0,811,0,151,0,182,0,415
26-Jun-21,0,268,0,50,0,69,0,122
27-Jun-21,0,271,0,58,0,69,0,113
28-Jun-21,0,1219,0,258,0,282,0,645
29-Jun-21,0,836,0,161,0,177,0,467
30-Jun-21,0,649,0,120,0,153,0,353
1-Jul-21,1,669,0,169,0,127,1,330
2-Jul-21,0,717,0,111,0,137,0,358
3-Jul-21,0,235,0,43,0,55,0,107
6-Jul-21,1,1246,1,213,0,268,0,723
7-Jul-21,2,729,2,122,0,137,0,430
8-Jul-21,0,702,0,156,0,137,0,341
9-Jul-21,1,694,0,114,0,122,1,405
10-Jul-21,1,191,0,35,1,42,0,94
11-Jul-21,0,154,0,38,0,31,0,73
12-Jul-21,4,855,0,173,1,161,3,492
13-Jul-21,1,627,0,116,1,120,0,360
14-Jul-21,1,557,0,112,0,116,0,309
15-Jul-21,3,605,1,132,2,91,0,303
16-Jul-21,0,637,0,92,0,103,0,373
17-Jul-21,2,194,1,31,1,41,0,108
18-Jul-21,2,260,0,56,1,50,0,123
19-Jul-21,7,876,1,152,0,169,6,521
20-Jul-21,2,644,0,98,0,120,2,389
21-Jul-21,3,561,1,94,0,99,2,342
22-Jul-21,4,644,3,103,0,111,1,337
23-Jul-21,7,649,2,85,0,139,4,402
24-Jul-21,0,185,0,38,0,35,0,96
25-Jul-21,1,233,0,48,0,45,0,116
26-Jul-21,1,853,0,152,1,132,0,544
27-Jul-21,5,702,2,119,1,140,2,402
28-Jul-21,8,677,2,135,2,122,4,390
29-Jul-21,7,784,3,121,1,155,3,395
30-Jul-21,4,944,1,123,0,170,3,534
31-Jul-21,2,289,2,48,0,58,0,163
1-Aug-21,0,388,0,91,0,65,0,209
2-Aug-21,5,1289,1,201,1,216,3,810
3-Aug-21,8,926,2,166,1,136,4,574
4-Aug-21,7,935,2,180,0,161,3,515
5-Aug-21,7,1019,2,167,1,166,3,584
6-Aug-21,7,1052,3,169,0,170,4,663
7-Aug-21,3,339,0,80,1,71,1,163
8-Aug-21,8,451,1,98,1,85,5,232
9-Aug-21,8,1275,2,161,0,258,6,790
10-Aug-21,7,1080,1,151,1,190,5,667
11-Aug-21,8,922,3,141,0,195,5,532
12-Aug-21,8,975,2,128,1,209,3,572
13-Aug-21,8,1304,4,216,0,285,3,740
14-Aug-21,3,425,1,107,0,93,2,185
15-Aug-21,5,740,0,259,0,145,5,265
16-Aug-21,12,2206,2,810,2,396,7,864
17-Aug-21,11,1691,3,660,2,258,6,684
18-Aug-21,17,1930,7,985,0,298,10,529
19-Aug-21,15,2131,10,987,1,357,4,689
20-Aug-21,14,2072,6,951,2,352,6,705
21-Aug-21,8,1265,7,859,0,167,0,206
22-Aug-21,19,2485,14,1805,2,350,3,264
23-Aug-21,29,4487,18,2899,0,601,8,904
24-Aug-21,22,3155,13,1996,2,363,6,728
25-Aug-21,25,3175,18,2171,0,363,7,594
26-Aug-21,19,3153,15,2055,3,352,1,684
27-Aug-21,21,3839,18,2445,2,433,1,886
28-Aug-21,26,1284,26,934,0,152,0,174
29-Aug-21,23,3183,18,2503,3,308,1,323
30-Aug-21,74,5434,61,3684,7,634,5,1026
31-Aug-21,62,5557,51,4161,4,492,7,788
1-Sep-21,43,5314,32,3931,3,497,7,762
2-Sep-21,25,5384,21,3687,2,668,2,903
3-Sep-21,25,4318,19,2665,0,525,6,1022
4-Sep-21,12,1282,11,867,0,149,0,215
5-Sep-21,15,1744,13,1159,0,243,2,276
6-Sep-21,10,2712,8,1966,0,331,1,348
7-Sep-21,18,5502,12,3507,1,645,5,1220
8-Sep-21,25,3954,23,2755,0,413,2,674
9-Sep-21,33,5247,26,4020,1,389,6,752
10-Sep-21,13,3713,10,2276,0,387,3,927
11-Sep-21,6,1293,3,943,1,136,2,176
12-Sep-21,8,2175,5,1532,1,239,2,313
13-Sep-21,11,4134,8,2509,1,500,2,1007
14-Sep-21,5,3455,3,2188,0,361,2,770
15-Sep-21,10,3213,5,2141,1,346,4,583
16-Sep-21,5,3603,3,2354,0,410,2,765
17-Sep-21,2,2972,1,1669,0,357,1,807
18-Sep-21,1,998,1,689,0,104,0,162
19-Sep-21,2,1871,1,1334,0,192,0,291
20-Sep-21,10,3890,4,2266,2,487,3,964
21-Sep-21,6,2996,4,1877,0,329,2,683
22-Sep-21,2,2948,1,2024,0,273,1,516
23-Sep-21,10,3151,5,1956,2,336,2,714
24-Sep-21,7,3394,5,2046,0,342,2,809
25-Sep-21,5,935,3,624,0,112,2,156
26-Sep-21,5,1703,4,1225,0,184,1,242
27-Sep-21,10,3653,4,2107,2,395,4,904
28-Sep-21,8,2965,2,1827,1,328,4,705
29-Sep-21,7,2657,4,1776,0,232,2,507
30-Sep-21,4,2941,4,1803,0,273,0,693
1-Oct-21,3,2478,0,1356,1,258,2,704
2-Oct-21,1,675,0,447,0,71,1,123
3-Oct-21,1,1487,1,1013,0,149,0,270
4-Oct-21,4,3188,1,1860,0,322,3,832
5-Oct-21,8,2338,5,1387,1,248,2,623
6-Oct-21,8,2469,5,1616,1,224,2,493
7-Oct-21,5,2617,4,1623,0,277,0,590
8-Oct-21,6,2481,2,1348,0,244,3,701
9-Oct-21,2,731,1,501,0,93,1,111
10-Oct-21,5,1442,4,1053,0,139,1,203
11-Oct-21,12,2678,10,1559,0,288,0,706
12-Oct-21,5,2470,1,1511,0,238,3,613
13-Oct-21,1,2133,1,1347,0,188,0,462
14-Oct-21,3,2395,2,1532,1,196,0,540
15-Oct-21,8,3143,6,2033,0,286,1,666
16-Oct-21,1,867,0,622,0,95,1,122
17-Oct-21,1,1135,1,810,0,103,0,191
18-Oct-21,8,2885,3,1583,3,326,2,866
19-Oct-21,3,2391,1,1555,0,232,2,518
20-Oct-21,2,2624,1,1488,1,237,0,768
21-Oct-21,2,2314,2,1461,0,176,0,510
22-Oct-21,1,2250,0,1239,0,169,1,703
23-Oct-21,0,702,0,479,0,66,0,121
24-Oct-21,5,1140,3,808,1,103,1,185
25-Oct-21,4,2605,3,1371,0,217,1,898
26-Oct-21,10,2057,6,1294,1,201,3,477
27-Oct-21,15,2384,13,1339,0,226,1,712
28-Oct-21,11,2180,9,1427,1,190,1,443
29-Oct-21,6,2549,6,1448,0,240,0,713
30-Oct-21,4,613,3,428,0,63,1,103
31-Oct-21,7,1123,5,780,1,100,1,191
1-Nov-21,18,2610,15,1444,2,251,1,840
2-Nov-21,32,2445,25,1561,2,285,5,484
3-Nov-21,46,2728,38,1659,5,251,3,735
4-Nov-21,25,2713,24,1787,0,203,1,524
5-Nov-21,34,3094,29,2060,1,208,2,706
6-Nov-21,20,951,16,695,4,109,0,113
7-Nov-21,21,1675,15,1300,2,118,4,213
8-Nov-21,42,3438,28,2057,3,327,10,893
9-Nov-21,26,2677,18,1910,3,210,4,448
10-Nov-21,26,3097,22,1909,2,303,2,760
11-Nov-21,19,2932,15,1973,4,295,0,494
12-Nov-21,17,2976,12,1873,0,266,4,719
13-Nov-21,10,1069,7,778,1,103,2,150
14-Nov-21,9,1552,6,1139,1,143,2,232
15-Nov-21,17,3322,10,2053,1,336,6,834
16-Nov-21,5,2742,2,1843,2,265,1,525
17-Nov-21,22,3159,14,2049,1,269,5,754
18-Nov-21,17,3314,12,2272,0,324,5,570
19-Nov-21,11,2837,7,1651,1,299,1,723
20-Nov-21,1,607,1,304,0,103,0,162
21-Nov-21,7,609,3,230,0,106,4,215
22-Nov-21,13,1293,4,174,0,161,9,842
23-Nov-21,7,1098,2,166,1,179,4,575
24-Nov-21,5,1214,0,94,0,152,5,751
27-Nov-21,11,540,1,214,1,124,8,166
